2024-11-11;Moonrise;Moonset;Moonrise;Distance (km);Illumination
2024-11-01;5:45;16:34;5:45;404521;0.2
2024-11-02;6:45;17:03;6:45;402737;0.4
2024-11-03;7:46;17:38;7:46;400407;2.6
2024-11-04;8:48;18:19;8:48;397560;6.7
2024-11-05;9:48;19:08;9:48;394201;12.8
2024-11-06;10:45;20:06;10:45;390335;20.6
2024-11-07;11:35;21:09;11:35;385990;29.9
2024-11-08;12:18;22:17;12:18;381256;40.4
2024-11-09;12:56;23:26;12:56;376302;51.6
2024-11-10;13:28;13:28;13:28;371398;63.0
2024-11-11;-;0:35;13:58;366906;74.0
2024-11-12;-;1:45;14:26;363250;83.9
2024-11-13;-;2:55;14:55;360866;91.9
2024-11-14;-;4:08;15:26;360116;97.3
2024-11-15;-;5:23;16:02;361210;99.8
2024-11-16;-;6:40;16:44
2024-11-17;-;7:56;17:34;364141;99.1
2024-11-18;-;9:07;18:33;368665;95.4
2024-11-19;-;10:08;19:37;374338;89.2
2024-11-20;-;10:59;20:44;380598;81.2
2024-11-21;-;11:40;21:50;386876;72.0
2024-11-22;-;12:13;22:52;392668;62.1
2024-11-23;-;12:40;23:52;397587;52.0
2024-11-24;-;13:05;-;401377;42.1
2024-11-25;0:49;13:28;0:49;403904;32.7
2024-11-26;1:44;13:50;1:44;405150;24.0
2024-11-27;2:40;14:12;2:40;405191;16.3
2024-11-28;3:37;14:37;3:37;404174;9.8
2024-11-29;4:36;15:05;4:36;402291;4.8
2024-11-30;5:36;15:38;5:36;399754;1.5
