Moonrise;Moonset;Moonrise;Distance (km);Illumination
2025-11-01;-;0:55;14:20;373777;78.0
2025-11-02;-;2:02;14:48;367595;86.9
2025-11-03;-;3:11;15:16;362393;93.9
2025-11-04;-;4:22;15:47;358685;98.4
2025-11-05;-;5:37;16:22;356937;99.9
2025-11-06;-;6:55;17:05;356937;100.0
2025-11-07;-;8:14;17:56;357343;98.0
2025-11-08;-;9:29;18:58;359819;92.9
2025-11-09;-;10:34;20:06;364043;85.2
2025-11-10;-;11:28;21:17;369489;75.7
2025-11-11;-;12:10;22:27;375572;65.0
2025-11-12;-;12:45;23:33;381743;54.0
2025-11-13;-;13:14;0:05;387590;43.2
2025-11-14;0:35;13:39;0:35;392803;33.0
2025-11-15;1:35;14:03;1:35;397213;23.8
2025-11-16;2:33;14:26;2:33;400749;15.9
2025-11-17;3:30;14:50;3:30;403416;9.4
2025-11-18;4:28;15:16;4:28;405257;4.6
2025-11-19;5:26;15:45;5:26;406332;1.5
2025-11-20;6:26;16:19;6:26;406691;0.2
2025-11-21;7:25;16:58;7:25;406356;0.8
2025-11-22;8:22;17:44;8:22;405317;3.4
2025-11-23;9:16;18:37;9:16;403535;7.7
2025-11-24;10:03;19:35;10:03;400955;13.8
2025-11-25;10:45;20:37;10:45;397536;21.4
2025-11-26;11:21;21:39;11:21;393266;30.3
2025-11-27;11:52;22:43;11:52;388218;40.3
2025-11-28;12:20;23:47;12:20;382533;51.0
2025-11-29;12:47;12:47;12:47;376497;62.0
2025-11-30;-;0:51;13:14;370481;72.8
2025-12-01;-;1:59;13:42;365007;82.7
2025-12-02;-;3:09;14:14;360586;90.9
2025-12-03;-;4:24;14:52;357781;96.8
2025-12-04;-;5:42;15:38;356982;99.6
2025-12-05;-;7:00;16:36;356982;100.0
2025-12-06;-;8:12;17:42;358344;99.1
2025-12-07;-;9:13;18:55;361745;95.4
2025-12-08;-;10:03;20:09;366794;89.0
2025-12-09;-;10:42;21:19;372921;80.6
2025-12-10;-;11:14;22:25;379500;70.9
2025-12-11;-;11:42;23:27;385995;60.6
2025-12-12;-;12:06;23:57;391935;50.1
2025-12-13;0:26;12:30;0:26;397003;40.0
2025-12-14;1:24;12:54;1:24;401006;30.5
2025-12-15;2:21;13:19;2:21;403869;21.9
2025-12-16;3:20;13:47;3:20;405605;14.5
2025-12-17;4:19;14:19;4:19;406298;8.4
2025-12-18;5:18;14:57;5:18;406072;3.9
2025-12-19;6:16;15:41;6:16;405065;1.1
2025-12-20;7:11;16:32;7:11;403402;0.2
2025-12-21;8:01;17:29;8:01;401187;1.2
2025-12-22;8:44;18:30;8:44;398478;4.3
2025-12-23;9:22;19:33;9:22;395308;9.3
2025-12-24;9:54;20:36;9:54;391680;16.2
2025-12-25;10:23;21:39;10:23;387614;24.6
2025-12-26;10:50;22:42;10:50;383145;34.4
2025-12-27;11:15;23:46;11:15;378395;45.2
2025-12-28;11:42;11:42;11:42;373552;56.6
2025-12-29;-;0:52;12:11;368936;67.9
2025-12-30;-;2:03;12:45;364912;78.6
2025-12-31;-;3:16;13:25;361948;87.7
